name,ncaa_fg3a,ncaa_fg3_pct,ncaa_ft_pct,ncaa_sos,ncaa_team_fg3a_avg,nba_avg_team_ortg,nba_relative_team_fg3a,nba_fg3_pct
Jeremy Lamb,336,0.348214286,0.805555556,9.25,16.90666667,108.6666667,1.027835769,0.327909887
Damian Lillard,630,0.39047619,0.866666667,-2.21,21.34126984,108.35,1.086290884,0.367387687
Terrence Ross,319,0.363636364,0.763779528,6.51,20.77142857,108.3285714,1.203201113,0.371475954
Austin Rivers,159,0.364779874,0.657608696,8.4,21.73529412,108.9714286,1.139874739,0.353067815
Kendall Marshall,131,0.366412214,0.693251534,8.61,15.45333333,101.725,1.003409091,0.369942197
Maurice Harkless,79,0.215189873,0.676258993,6.98,14.40625,104.9166667,0.961029923,0.311428571
Andrew Nicholson,77,0.376623377,0.720379147,1.35,15.22580645,104.2166667,1.185217391,0.32103321
Dion Waiters,198,0.348484848,0.753012048,8.4,18,107.4,1.202505219,0.343629344
Jared Sullinger,52,0.365384615,0.733333333,8.73,16.71052632,105.96,0.985217391,0.272200772
Terrence Jones,128,0.328125,0.63840399,8.42,16.69230769,108.3833333,1.474782609,0.29903537
John Jenkins,699,0.43776824,0.855614973,7.59,19.9223301,105.85,1.323478261,0.363984674
Will Barton,254,0.299212598,0.732824427,4.2,16.42857143,108.3428571,1.274182324,0.338337182
Khris Middleton,287,0.320557491,0.768382353,7.42,16.67676768,105.1,0.823938761,0.398648649
Tony Wroten,56,0.160714286,0.583333333,5.27,18.08571429,99.65,1.020454545,0.231404959
Jeffery Taylor,321,0.358255452,0.693251534,6.64,19.5,101.7333333,0.846635368,0.319066148
Draymond Green,252,0.361111111,0.686868687,9.75,15.65068493,111.8666667,1.154488518,0.334760274
Mike Scott,44,0.363636364,0.775330396,6.34,18.07096774,106.4333333,1.080027836,0.338735818
Hollis Thompson,291,0.439862543,0.676470588,9.21,17.32323232,100.42,1.398947368,0.38575983
Chris Johnson,636,0.371069182,0.826330532,3.72,19.55319149,102.8333333,1.418181818,0.306784661
Jae Crowder,294,0.350340136,0.682926829,8,15.875,108.9571429,1.285316632,0.344753747
Ben McLemore,174,0.41954023,0.869565217,7.54,16.05405405,105.66,0.871463217,0.348837209
CJ McCollum,576,0.376736111,0.825439783,-5.41,18.47692308,108.86,1.074373484,0.417591125
Victor Oladipo,142,0.338028169,0.715877437,7.94,16.48076923,105.26,0.90864996,0.355591311
