name,ncaa_fg3a,ncaa_fg3_pct,ncaa_ft_pct,ncaa_sos,ncaa_team_fg3a_avg,nba_avg_team_ortg,nba_relative_team_fg3a,nba_fg3_pct
Kelly Olynyk,75,0.333333333,0.70877193,4.0,16.08653846,105.82,1.113985449,0.376830892
Kyle Singler,736,0.362771739,0.772939347,8.97,21.22972973,107.0714286,1.139874739,0.362424242
Damian Lillard,630,0.39047619,0.866666667,-2.21,21.34126984,108.35,1.086290884,0.367387687
Iman Shumpert,364,0.304945055,0.737532808,7.34,17.57142857,109.0875,1.358420728,0.338596491
Jeffery Taylor,321,0.358255452,0.693251534,6.64,19.5,101.7333333,0.846635368,0.319066148
Jordan Crawford,284,0.383802817,0.764976959,6.01,19.07352941,104.1111111,1.395209581,0.315891473
Jordan Hamilton,393,0.376590331,0.709677419,7.67,15.72857143,109.1,1.312030075,0.356770833
TJ McConnell,363,0.380165289,0.74893617,5.48,17.28776978,102.8,1.087719298,0.31875
Chris Johnson,636,0.371069182,0.826330532,3.72,19.55319149,102.8333333,1.418181818,0.306784661
Darren Collison,371,0.4393531,0.850490196,8.25,17.36912752,107.2333333,0.946518668,0.379069767
Caris LeVert,334,0.401197605,0.769811321,9.3,21.94444444,105.4,1.179533214,0.308550186
Marcus Smart,295,0.294915254,0.750537634,7.53,18.44776119,107.725,1.123287671,0.291404612
Justise Winslow,110,0.418181818,0.641025641,9.87,18.76923077,105.8,0.972431078,0.268817204
DeMar DeRozan,36,0.166666667,0.646258503,9.15,11.31428571,108.8555556,0.983854692,0.280311457
Terrence Jones,128,0.328125,0.63840399,8.42,16.69230769,108.3833333,1.474782609,0.29903537
Evan Turner,149,0.362416107,0.757874016,7.86,18.99065421,104.8111111,1.061632426,0.292587776
Myles Turner,62,0.274193548,0.839285714,9.07,18.41176471,107.6,0.894736842,0.333333333
Doug McDermott,598,0.45819398,0.830769231,4.29,20.94482759,107.22,1.121330724,0.394415358
Dion Waiters,198,0.348484848,0.753012048,8.4,18.0,107.4,1.202505219,0.343629344
Wesley Johnson,373,0.348525469,0.768488746,6.79,18.95918367,105.825,1.031649084,0.336175396
Stanley Johnson,116,0.370689655,0.741573034,7.41,14.10526316,106.8333333,0.986215539,0.299086758
Buddy Hield,894,0.390380313,0.835555556,9.28,20.72262774,104.4333333,1.29443447,0.40212766
Jrue Holiday,88,0.306818182,0.725806452,7.18,18.74285714,105.9333333,0.908678103,0.359066427
Mike Scott,44,0.363636364,0.775330396,6.34,18.07096774,106.4333333,1.080027836,0.338735818
Gerald Henderson,210,0.328571429,0.706030151,9.61,20.21153846,102.525,0.925073746,0.326771654
Avery Bradley,112,0.375,0.545454545,7.38,16.64705882,105.5375,1.0,0.368798956
